name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Campyloneurum atrosquamatum,Polypodiaceae,Campyloneurum,atrosquamatum,"Labiak, B.León & R.C.Moran",tax_nov,spec.,Brittonia 72(3): 249. 2020 [23 Jul 2020] [epublished],Brittonia,2020,72(3): 249,561-2,holotype QCA;isotype AAU;isotype NY 04061672;isotype QCNE;isotype TUR,"R. C. Moran, H. Tuomisto, K. Ruokoleinen &amp; A. Poulsen",6248,20 Apr 1996,"Ecuador (Western South America, Southern America);Acre (Brazil North, Brazil, Southern America);Amapá (Brazil North, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);French Guiana (Northern South America, Southern America);Peru (Western South America, Southern America);","Ecuador. Napo: just outside of Parque Nacional Yasuní, ca. km 26.1 on Maxus Oil Road, transect 18, 300m",77212036-1,NA,23 Jul 2020,"doi:10.1007/s12228-020-09626-9 The specific epithet is a compound of the Latin words 'atro-', dark, and 'squamatum', furnished with scales, referring to the dark-brown, narrow scales that distinguish the species from C. coarctatum.",www.ipni.org/n/77212036-1,IPNI,https://doi.org/10.1007/s12228-020-09626-9
Goniophlebium gauthieri,Polypodiaceae,Goniophlebium,gauthieri,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 112, t.34, f.3. 1869 ",Crypt. Vasc. Bresil,1869,"1: 112, t.34, f.3",7203-2,lectotype P,A.F.M.Glaziou,2406,NA,"fluminensi, Brazil (Southern America)",NA,112199-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=112&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/112199-2,IPNI,NA
Goniophlebium pictum,Polypodiaceae,Goniophlebium,pictum,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 1: 244, t.77, f.3. 1869 ",Crypt. Vasc. Bresil,1869,"1: 244, t.77, f.3",7203-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,112211-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=244&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/112211-2,IPNI,NA
Niphidium rufosquamulatum,Polypodiaceae,Niphidium,rufosquamulatum,Lellinger,tax_nov,spec.,"Amer. Fern J. 62(4): 115, f.5,17. 1972 [29 Dec 1972] ",Amer. Fern J.,1972,"62(4): 115, f.5,17",1714-2,holotype US,Luederwaldt,1841,NA,Brazil (Southern America),NA,170059-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1972&rft.issue=4&rft.spage=115&rft.volume=62&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Dec 1972,NA,www.ipni.org/n/170059-2,IPNI,NA
Pleopeltis guttisquamata,Polypodiaceae,Pleopeltis,guttisquamata,N.T.L.Pena & Schwartsb.,tax_nov,spec.,Brittonia 73(2): 154. 2021 [25 Feb 2021] [epublished],Brittonia,2021,73(2): 154,561-2,holotype UPBC 0007598;isotype CEPEC;isotype MBML 00001781;isotype RB 00549355,"P.H.Labiak, P.B.Schwartsburd, A.P.Fontana &amp; L.J.C.Kollmann",5101,14 Jan 2009,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Nova Venécia, Área de Preservação Ambiental da Pedra do Elefante, afloramento rochoso à direita na subida para a Pedra do Elefante, (300-)600 m",77234088-1,NA,25 Feb 2021,"doi:10.1007/s12228-020-09656-8 The specific epithet means 'with drop-like scales'. It is a compound word combining a noun ('gutta', drop) with an adjective ('squamatus', scaly). It refers to the fact that the leaves have only subulate scales.",www.ipni.org/n/77234088-1,IPNI,https://doi.org/10.1007/s12228-020-09656-8
Polypodium attenuatum,Polypodiaceae,Polypodium,attenuatum,Humb. & Bonpl. ex Willd.,tax_nov,spec.,"Sp. Pl., ed. 4 [Willdenow] 5(1): 191. 1810 [25-27 Jan 1810] ","Sp. Pl., ed. 4 [Willdenow]",1810,5(1): 191,1302-2,NA,NA,NA,NA,"Brazil (Southern America);Venezuela (Northern South America, Southern America);",Habitat ad Caracas inque Brasilia,206690-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1810&rft.issue=1&rft.spage=191&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/727&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,25-27 Jan 1810,NA,www.ipni.org/n/206690-2,IPNI,NA
Polypodium bakeri,Polypodiaceae,Polypodium,bakeri,Lindm.,tax_nov,spec.,"Ark. Bot. 1: 240, pl.11, f.9. 1903 ",Ark. Bot.,1903,"1: 240, pl.11, f.9",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,206707-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=240&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/206707-2,IPNI,NA
Polypodium camporum,Polypodiaceae,Polypodium,camporum,Lindm.,tax_nov,spec.,"Ark. Bot. 1: 228, pl.10, f.13. 1903 ",Ark. Bot.,1903,"1: 228, pl.10, f.13",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,206768-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1903&rft.spage=228&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/40761&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/206768-2,IPNI,NA
Polypodium filipes,Polypodiaceae,Polypodium,filipes,Christ in Schwacke,tax_nov,spec.,"Pl. Nov. Mineir. 2: 20. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 370.  1902.  Brazil",Pl. Nov. Mineir.,1900,2: 20,11591-2,NA,NA,NA,NA,Brazil (Southern America),NA,206953-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=20&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/206953-2,IPNI,NA
Polypodium gyroflexum,Polypodiaceae,Polypodium,gyroflexum,Christ,tax_nov,spec.,Bull. Herb. Boissier 6: 994. 1898 ,Bull. Herb. Boissier,1898,6: 994,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,207017-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.spage=994&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/207017-2,IPNI,NA
Polypodium herbaceum,Polypodiaceae,Polypodium,herbaceum,Christ in Schwacke,tax_nov,spec.,"Pl. Nov. Mineir. 2: 22. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 375.  1902.--Brazil Rio de Janeiro",Pl. Nov. Mineir.,1900,2: 22,11591-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil, Southern America)",NA,207026-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=22&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/207026-2,IPNI,NA
